file_id,2_instruct-pix2pix|ssim_unedit_part,2_instruct-pix2pix|lpips_unedit_part,2_instruct-pix2pix|clip_similarity_target_image
121000000000,0.7765015363693237,0.10679131001234055,21.551801681518555
121000000001,0.8965141177177429,0.04135047271847725,30.68172836303711
121000000002,0.6364620923995972,0.09332207590341568,25.003427505493164
121000000003,0.6372865438461304,0.06720522046089172,24.21739387512207
121000000004,0.7361701726913452,0.221478670835495,17.423559188842773
121000000005,0.6422557830810547,0.29650211334228516,23.147533416748047
121000000006,0.7849760055541992,0.062300607562065125,31.33245086669922
121000000007,0.8770672678947449,0.10036062449216843,22.03727149963379
121000000008,0.6110484600067139,0.2791171371936798,23.194063186645508
121000000009,0.9190115928649902,0.07463175803422928,28.032852172851562
122000000000,0.9378970861434937,0.0619046688079834,23.507413864135742
122000000001,0.9345480799674988,0.03268710523843765,13.613030433654785
122000000002,0.7918859720230103,0.20412802696228027,25.37093162536621
122000000003,0.728141188621521,0.11793351173400879,28.361404418945312
122000000004,0.9595808982849121,0.010972073301672935,19.387622833251953
122000000005,0.6428029537200928,0.28168389201164246,25.494102478027344
122000000006,0.8103667497634888,0.04235406219959259,27.03409767150879
122000000007,0.7748931646347046,0.08933673799037933,27.001222610473633
122000000008,0.8685590624809265,0.033719733357429504,24.484899520874023
122000000009,0.6132292151451111,0.11419221013784409,22.63605308532715
123000000000,0.7798668742179871,0.19191382825374603,23.797481536865234
123000000001,0.611818253993988,0.3376346230506897,29.84859848022461
123000000002,0.8830887675285339,0.1880202293395996,20.921993255615234
123000000003,0.7706438899040222,0.26122623682022095,18.900283813476562
123000000004,0.8157650828361511,0.12912900745868683,15.854886054992676
123000000005,0.7670077681541443,0.05207390338182449,22.091516494750977
123000000006,0.7717355489730835,0.36036694049835205,18.61713409423828
123000000007,0.858245313167572,0.06516682356595993,20.6527099609375
123000000008,0.9442968368530273,0.028365084901452065,22.25333023071289
123000000009,0.6599326133728027,0.46501320600509644,18.8752498626709
124000000000,0.8904352188110352,0.0672476515173912,22.085466384887695
